chart_week.x,current_week,title,performer,last_week,peak_pos,wks_on_chart,chart_week.y,rank,uri,artist_names,source,peak_rank,previous_rank,weeks_on_chart,streams
4/15/2023,145,Dandelions,Ruth B.,146,51,64,4/13/2023,82,spotify:track:2eAvDnpXP5W0cVtiI0PUxV,Ruth B.,Columbia,34,92,87,10272365
4/15/2023,150,Everybody Wants To Rule The World,Tears For Fears,170,108,36,4/13/2023,157,spotify:track:4RvWPyQ5RL0ao9LPZeSouE,Tears For Fears,UMC (Universal Music Catalogue),105,170,31,7927276
4/15/2023,151,When I Was Your Man,Bruno Mars,137,74,28,4/13/2023,139,spotify:track:0B7wvvmu9EISAwZnOpjhNI,Bruno Mars,Atlantic Records,72,136,33,8214319
4/15/2023,154,Style,Taylor Swift,152,152,3,4/13/2023,122,spotify:track:0ug5NqcwcFR2xrfTkc7k8e,Taylor Swift,"Big Machine Records, LLC",117,122,4,8778363
4/15/2023,160,Romantic Homicide,d4vd,143,35,31,4/13/2023,65,spotify:track:1xK59OXxi2TAAAbmZK0kBL,d4vd,Darkroom/Interscope Records,17,70,32,11256256
4/15/2023,162,We Found Love,Rihanna Featuring Calvin Harris,142,47,8,4/13/2023,135,spotify:track:1zv3WFUbZ5vPxFq9I2jAU1,"Rihanna, Calvin Harris",Def Jam Recordings,59,139,9,8308390
4/15/2023,168,Late Night Talking,Harry Styles,156,2,46,4/13/2023,148,spotify:track:1qEmFfgcLObUfQm0j1W2CK,Harry Styles,Columbia,2,140,47,8081850
4/15/2023,172,Moonlight,Kali Uchis,169,169,3,4/13/2023,113,spotify:track:0JmnkIqdlnUzPaf8sqBRs3,Kali Uchis,Geffen Records,113,118,5,9089414
4/15/2023,173,Shut Down,BLACKPINK,-,1,25,4/13/2023,165,spotify:track:7gRFDGEzF9UkBV233yv2dc,BLACKPINK,YG Entertainment/Interscope Records,1,138,28,7683156
4/15/2023,177,Nosso Quadro,Ana Castela,124,95,6,4/13/2023,97,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,"AgroPlay, Ana Castela",AgroPlay,50,86,8,9682219
4/15/2023,181,The Real Slim Shady,Eminem,-,59,58,4/13/2023,141,spotify:track:3yfqSUWxFvZELEM4PmlwIR,Eminem,Interscope,51,152,97,8203480
4/15/2023,186,The Hills,The Weeknd,176,44,61,4/13/2023,192,spotify:track:7fBv7CLKzipRk6EC6TWHOB,The Weeknd,Universal Republic Records,52,185,84,7220021
4/15/2023,187,Every Breath You Take,The Police,190,107,39,4/13/2023,180,spotify:track:1JSTJqkT5qHq8MDJnJbRE1,The Police,Polydor Records,109,-1,76,7482317
4/15/2023,197,Lose Yourself,Eminem,199,25,54,4/13/2023,188,spotify:track:1v7L65Lzy0j0vdpRjJewt1,Eminem,Aftermath,44,180,118,7332584
4/15/2023,200,Numb,Linkin Park,166,166,2,4/13/2023,200,spotify:track:2nLtzopw4rPReszdYBJU6h,Linkin Park,Warner Records,34,-1,7,7074504
4/22/2023,1,Flowers,Miley Cyrus,1,1,13,4/20/2023,2,spotify:track:4DHcnVTT87F0zZhRPYmZ3B,Miley Cyrus,Columbia,1,1,14,38578170
4/22/2023,2,Search & Rescue,Drake,-,2,1,4/20/2023,23,spotify:track:7aRCf5cLOFN1U7kvtChY1G,Drake,OVO/Republic Records,7,7,2,18449553
4/22/2023,3,Ella Baila Sola,Eslabon Armado X Peso Pluma,9,3,4,4/20/2023,1,spotify:track:3dnP0JxCgygwQH9Gm7q7nb,"Eslabon Armado, Peso Pluma",DEL Records,1,2,5,47897420
4/22/2023,4,La Bebe,Yng Lvcas x Peso Pluma,7,4,7,4/20/2023,170,spotify:track:6odrHMSLjP3aOXC4ipKUC6,Yng Lvcas,Yng Lvcas,70,133,10,7993567
4/22/2023,5,Die For You,The Weeknd & Ariana Grande,3,2,58,4/20/2023,24,spotify:track:2LBqCSwhJGcFQeTHMVGwy3,The Weeknd,Universal Republic Records,12,24,62,18417659
4/22/2023,7,Kill Bill,SZA,6,1,18,4/20/2023,6,spotify:track:1Qrg8KqiBpW07V7PNxwwwL,SZA,Top Dawg Entertainment/RCA Records,1,3,19,29677639
4/22/2023,8,Last Night,Morgan Wallen,10,5,11,4/20/2023,22,spotify:track:7K3BhSpAxZBznislvUMVtn,Morgan Wallen,Big Loud Records / Mercury Records / Republic Records,14,20,11,18930091
4/22/2023,9,TQG,Karol G x Shakira,8,1,7,4/20/2023,5,spotify:track:0DWdj2oZMBFSzRsi2Cvfzf,"KAROL G, Shakira",Universal Music Latino,1,4,8,30047020
4/22/2023,10,Like Crazy,Jimin,4,2,3,4/20/2023,39,spotify:track:3Ua0m0YmEjrMi9XErKcNiR,Jimin,BIGHIT MUSIC,15,19,4,15256672
4/22/2023,13,Cupid,Fifty Fifty,22,13,5,4/20/2023,145,spotify:track:5mg3VB3Qh7jcR5kAAC4DSV,FIFTY FIFTY,WM Korea,145,160,3,8546376
4/22/2023,14,As It Was,Harry Styles,13,1,54,4/20/2023,11,spotify:track:4Dvkj6JhhA12EX05fT7y2e,Harry Styles,Columbia,1,9,55,25109185
4/22/2023,15,Anti-Hero,Taylor Swift,15,1,25,4/20/2023,21,spotify:track:0V3wPSX9ygBnCm8psDIegu,Taylor Swift,Taylor Swift,1,18,26,19158037
4/22/2023,18,I'm Good (Blue),David Guetta & Bebe Rexha,17,2,33,4/20/2023,27,spotify:track:4uUG5RXrOk84mYEfFvj3cK,"David Guetta, Bebe Rexha",Parlophone UK,2,23,34,17931859
4/22/2023,20,Yandel 150,Yandel & Feid,18,13,14,4/20/2023,17,spotify:track:4FAKtPVycI4DxoOHC01YqD,"Yandel, Feid",La Leyenda LLC,8,15,15,21891852
4/22/2023,22,Until I Found You,Stephen Sanchez,20,11,48,4/20/2023,155,spotify:track:6VhuP99TE6gYNQRJIlAWFD,Stephen Sanchez,Republic Records,20,134,50,8350808
4/22/2023,23,PRC,Peso Pluma X Natanael Cano,28,23,11,4/20/2023,12,spotify:track:2mpoNBkngUEwnaKoBhZ0vl,"Peso Pluma, Natanael Cano",Prajin Parlay Inc dba Prajin Records / Rancho Humilde / Los CT,12,17,12,23856539
4/22/2023,25,Eyes Closed,Ed Sheeran,21,16,3,4/20/2023,57,spotify:track:4hy7qTxsnyZUZoqo5RtaYq,Ed Sheeran,Atlantic Records UK,27,44,4,12635565
4/22/2023,26,AMG,"Gabito Ballesteros, Peso Pluma & Natanael Cano",27,26,14,4/20/2023,19,spotify:track:1lRtH4FszTrwwlK5gTSbXO,"Natanael Cano, Peso Pluma, Gabito Ballesteros",WEA Latina,19,21,15,21543683
4/22/2023,27,Save Your Tears,The Weeknd & Ariana Grande,23,1,119,4/20/2023,130,spotify:track:5QO79kh1waicV47BqGRL3g,The Weeknd,Republic Records,2,117,124,8959282
4/22/2023,30,Sure Thing,Miguel,25,13,17,4/20/2023,62,spotify:track:0JXXNGljqupsJaZsgSbMZV,Miguel,Jive,14,58,19,12131230
4/22/2023,31,I Ain't Worried,OneRepublic,30,5,45,4/20/2023,36,spotify:track:4fYte8ZvTK14NEhAOZocBi,OneRepublic,Interscope Records,7,39,46,15582231
4/22/2023,32,Players,Coi Leray,26,17,14,4/20/2023,47,spotify:track:6UN73IYd0hZxLi8wFPMQij,Coi Leray,Uptown / Republic Records,20,45,13,13994954
4/22/2023,34,El Azul,Junior H x Peso Pluma,38,34,5,4/20/2023,20,spotify:track:1haJsMtoBhHfvuM7XWuT3W,"Junior H, Peso Pluma",WEA Latina,20,25,8,20634161
4/22/2023,35,Another Love,Tom Odell,32,14,102,4/20/2023,35,spotify:track:7jtQIBanIiJOMS6RyCx6jZ,Tom Odell,ITNO/Columbia,15,37,106,15685972
4/22/2023,36,OMG,NewJeans,29,10,15,4/20/2023,48,spotify:track:65FftemJ1DbbZ45DUfHJXE,NewJeans,ADOR,14,43,16,13748014
4/22/2023,37,People,Libianca,35,35,13,4/20/2023,55,spotify:track:26b3oVLrRUaaybJulow9kz,Libianca,5K Records Limited,52,54,14,12826380
4/22/2023,38,Snooze,SZA,37,27,18,4/20/2023,53,spotify:track:4iZ4pt7kvcaH6Yo8UoZ4s2,SZA,Top Dawg Entertainment/RCA Records,32,48,17,13038104
4/22/2023,39,Classy 101,Feid x Young Miko,77,39,2,4/20/2023,14,spotify:track:6XSqqQIy7Lm7SnwxS4NrGx,"Feid, Young Miko",UMLE - Latino,14,32,3,23718854
4/22/2023,40,Blinding Lights,The Weeknd,40,2,136,4/20/2023,59,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,The Weeknd,Republic Records,1,52,177,12386905
4/22/2023,41,Fast Car,Luke Combs,69,41,3,4/20/2023,126,spotify:track:1Lo0QY9cvc8sUB2vnIOxDT,Luke Combs,River House Artists/Columbia Nashville,126,140,2,9162373
4/22/2023,43,La Bachata,Manuel Turizo,34,6,40,4/20/2023,38,spotify:track:3tt9i3Hhzq84dPS8H7iSiJ,Manuel Turizo,Sony Music Latin/La Industria,4,33,42,15341313
4/22/2023,44,Lavender Haze,Taylor Swift,36,2,25,4/20/2023,99,spotify:track:5jQI2r1RdgtuT8S3iG8zFC,Taylor Swift,Taylor Swift,2,85,26,10069242
4/22/2023,45,Mockingbird,Eminem,47,42,26,4/20/2023,41,spotify:track:561jH07mF1jHuk7KlaeF0s,Eminem,Aftermath,24,38,27,15165126
4/22/2023,46,Under The Influence,Chris Brown,42,3,38,4/20/2023,66,spotify:track:5IgjP7X4th6nMNDh4akUHb,Chris Brown,Chris Brown Entertainment/RCA Records,6,64,39,11591063
4/22/2023,47,Coco Chanel,Eladio Carrion & Bad Bunny,41,22,4,4/20/2023,46,spotify:track:0PB0O24JqAuNdOAFVJljMS,"Eladio Carrion, Bad Bunny",Rimas Entertainment LLC,13,30,5,14522303
4/22/2023,49,Starboy,The Weeknd Featuring Daft Punk,44,34,93,4/20/2023,33,spotify:track:7MXVkk9YMctZqd1Srtv4MB,"The Weeknd, Daft Punk",Universal Republic Records,1,36,133,16587981
4/22/2023,53,You Proof,Morgan Wallen,66,22,48,4/20/2023,200,spotify:track:5W4kiM2cUYBJXKRudNyxjW,Morgan Wallen,Big Loud Records / Mercury Records / Republic Records,91,177,8,7459857
4/22/2023,57,Hey Mor,Ozuna Featuring Feid,43,27,26,4/20/2023,40,spotify:track:1zsPaEkglFvxjAhrM8yhpr,"Ozuna, Feid",Aura Music Corp.,14,35,27,15176208
4/22/2023,58,Heat Waves,Glass Animals,49,1,119,4/20/2023,29,spotify:track:3USxtqRwSYz57Ewm6wWRMp,Glass Animals,Polydor Records,1,67,121,17004289
4/22/2023,59,All Of The Girls You Loved Before,Taylor Swift,45,10,4,4/20/2023,75,spotify:track:4P9Q0GojKVXpRTJCaL3kyy,Taylor Swift,Taylor Swift,12,55,5,11184543
4/22/2023,60,Perfect,Ed Sheeran,63,30,136,4/20/2023,114,spotify:track:0tgVpDi06FyKpA1z0VMD4v,Ed Sheeran,Atlantic Records UK,4,103,318,9642153
